Date,Open,High,Low,Close,Adj Close,Volume
2015-06-29,2245.000000,2288.000000,2174.500000,2231.000000,2231.000000,1100
2015-06-30,2164.000000,2275.000000,2156.000000,2260.000000,2260.000000,1400
2015-07-01,2257.000000,2257.000000,2167.000000,2192.000000,2192.000000,1000
2015-07-02,2261.500000,2357.000000,2251.000000,2268.500000,2268.500000,2100
2015-07-06,2159.500000,2189.500000,2143.000000,2155.000000,2155.000000,900
2015-07-07,2100.000000,2106.000000,2049.500000,2099.000000,2099.000000,2000
2015-07-08,2131.000000,2131.000000,2025.500000,2045.000000,2045.000000,1300
2015-07-09,2045.000000,2114.000000,1988.500000,2109.500000,2109.500000,2900
2015-07-10,2184.000000,2219.000000,2157.500000,2173.000000,2173.000000,1000
2015-07-13,2277.000000,2325.000000,2267.000000,2292.000000,2292.000000,2000
2015-07-14,2347.500000,2351.000000,2239.000000,2251.000000,2251.000000,1200
2015-07-15,2325.500000,2374.000000,2306.000000,2350.500000,2350.500000,1200
2015-07-16,2347.000000,2365.000000,2266.500000,2294.000000,2294.000000,2400
2015-07-17,2292.000000,2332.000000,2260.500000,2332.000000,2332.000000,800
2015-07-20,2199.000000,2324.000000,2199.000000,2247.000000,2247.000000,1900
2015-07-21,2330.500000,2350.000000,2298.000000,2342.500000,2342.500000,1200
2015-07-22,2369.500000,2369.500000,2281.000000,2346.500000,2346.500000,1100
2015-07-23,2365.500000,2435.000000,2207.000000,2226.000000,2226.000000,3500
2015-07-24,2183.500000,2200.000000,2145.000000,2163.000000,2163.000000,1900
2015-07-27,2176.500000,2209.000000,2165.500000,2174.500000,2174.500000,1000
2015-07-28,2202.500000,2260.000000,2169.500000,2208.500000,2208.500000,1100
2015-07-29,2261.500000,2294.500000,2242.000000,2279.500000,2279.500000,1100
2015-07-30,2204.000000,2260.000000,2130.000000,2155.500000,2155.500000,2100
2015-07-31,2142.000000,2149.000000,2049.000000,2070.000000,2070.000000,2600
2015-08-03,2100.000000,2113.000000,2044.000000,2113.000000,2113.000000,1600
